PEO,O1,O2,O3,O4,O5,O6,O7
a,0,0,0.33,0.33,0.33,0,0
b,0,1,0,0,0,0,0
c,0,0,0,0,0,0,1
d,0,0,0,0,0,0,1
e,0.33,0.33,0,0,0,0.33,0
f,0,0,1,0,0,0,0
