Outcomes,1a,1b,2a,2b,2c,3a,3b,3c,4a,4b,5a,5b,6a,6b,6c,7a,7b
O1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
O3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
O4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
O5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
O6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
O7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
